measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,-107.0,0.0,0.0
2024-02-01,-96.0,0.0,0.0
2024-03-01,-83.0,0.0,0.0
2024-04-01,-198.0,0.0,0.0
2024-05-01,-215.0,0.0,0.0
2024-06-01,-149.0,0.0,0.0
2024-07-01,-114.0,0.0,0.0
2024-08-01,-142.0,0.0,0.0
2024-09-01,-120.0,0.0,0.0
2024-10-01,-136.0,0.0,0.0
2024-11-01,-70.0,0.0,0.0
2024-12-01,-116.0,0.0,0.0
