measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2022-05-01,0.0,0.0,0.0,0.467,2.0,2.0
2022-06-01,0.0,0.0,0.0,0.488,2.0,2.0
2022-07-01,0.0,0.0,0.0,0.471,2.0,2.0
2022-08-01,0.0,0.0,0.0,0.437,1.0,1.0
2022-09-01,0.0,0.0,0.0,0.369,1.0,1.0
2022-10-01,0.0,0.0,0.0,0.34,1.0,1.0
2022-11-01,0.0,0.0,0.0,0.252,1.0,1.0
2022-12-01,-1.0,0.0,0.0,0.176,1.0,1.0
2023-01-01,-2.0,0.0,0.0,96.0,328.0,328.0
2023-02-01,-9.0,0.0,0.0,338.0,1153.0,1153.0
2023-03-01,-7.0,0.0,0.0,374.0,1276.0,1276.0
2023-04-01,-10.0,0.0,0.0,783.0,2672.0,2672.0
2023-05-01,-2.0,0.0,0.0,825.0,2815.0,2815.0
2023-06-01,-11.0,0.0,0.0,727.0,2481.0,2481.0
2023-07-01,-4.0,0.0,0.0,748.0,2552.0,2552.0
2023-08-01,-2.0,0.0,0.0,444.0,1515.0,1515.0
2023-09-01,-10.0,0.0,0.0,424.0,1447.0,1447.0
2023-10-01,-8.0,0.0,0.0,460.0,1570.0,1570.0
2023-11-01,-8.0,0.0,0.0,224.0,764.0,764.0
2023-12-01,-8.0,0.0,0.0,209.0,713.0,713.0
2024-01-01,-6.0,0.0,0.0,224.0,764.0,764.0
2024-02-01,-7.0,0.0,0.0,334.0,1140.0,1140.0
2024-03-01,-10.0,0.0,0.0,556.0,1897.0,1897.0
2024-04-01,-7.0,0.0,0.0,708.0,2416.0,2416.0
2024-05-01,-8.0,0.0,0.0,823.0,2808.0,2808.0
2024-06-01,-3.0,0.0,0.0,758.0,2586.0,2586.0
2024-07-01,-8.0,0.0,0.0,832.0,2839.0,2839.0
2024-08-01,-6.0,0.0,0.0,684.0,2334.0,2334.0
2024-09-01,-7.0,0.0,0.0,550.0,1877.0,1877.0
2024-10-01,-7.0,0.0,0.0,389.0,1327.0,1327.0
2024-11-01,-6.0,0.0,0.0,179.0,611.0,611.0
2024-12-01,-5.0,0.0,0.0,94.0,321.0,321.0
