measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2022-01-01,48.506,462.0,462.0
2022-02-01,22.294,211.0,211.0
2022-03-01,31.302,296.0,296.0
2022-04-01,23.735,222.0,222.0
2022-05-01,40.298,382.0,382.0
2022-06-01,34.176,325.0,325.0
2022-07-01,31.637,302.0,302.0
2022-08-01,15.503,148.0,148.0
2022-09-01,43.188,410.0,410.0
2022-10-01,36.063,342.0,342.0
2022-11-01,44.446,422.0,422.0
2022-12-01,53.192,502.0,502.0
2023-01-01,51.56,479.0,479.0
2023-02-01,23.637,222.0,222.0
2023-03-01,46.701,433.0,433.0
2023-04-01,103.187,958.0,958.0
2023-05-01,58.703,547.0,547.0
2023-06-01,45.565,422.0,422.0
2023-07-01,51.351,479.0,479.0
2023-08-01,67.156,621.0,621.0
2023-09-01,66.187,616.0,616.0
2023-10-01,31.661,296.0,296.0
2023-11-01,52.967,490.0,490.0
2023-12-01,71.325,661.0,661.0
2024-01-01,43.099,447.0,447.0
2024-02-01,9.583,101.0,101.0
2024-03-01,9.888,101.0,101.0
2024-04-01,13.538,139.0,139.0
2024-05-01,19.21,195.0,195.0
2024-06-01,15.26,158.0,158.0
2024-07-01,13.341,139.0,139.0
2024-08-01,12.461,126.0,126.0
2024-09-01,12.849,132.0,132.0
2024-10-01,12.57,132.0,132.0
2024-11-01,10.293,107.0,107.0
2024-12-01,11.908,120.0,120.0
