measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2022-01-01,,,,0.0,0.0,0.0,,,,,,
2022-02-01,,,,0.0,0.0,0.0,,,,,,
2022-03-01,,,,0.0,0.0,0.0,,,,,,
2022-04-01,,,,0.0,0.0,0.0,,,,,,
2022-05-01,,,,0.0,0.0,0.0,,,,,,
2022-06-01,,,,0.0,0.0,0.0,,,,,,
2022-07-01,,,,0.0,0.0,0.0,,,,,,
2022-08-01,,,,0.0,0.0,0.0,,,,,,
2022-09-01,,,,0.0,0.0,0.0,,,,,,
2022-10-01,,,,0.0,0.0,0.0,,,,68.327,233.0,233.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,63.902,218.0,218.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,51.771,177.0,177.0
2023-01-01,-3.0,0.0,0.0,,,,0.0,0.0,0.0,76.0,259.0,259.0
2023-02-01,-2.0,0.0,0.0,,,,0.0,0.0,0.0,114.0,389.0,389.0
2023-03-01,-2.0,0.0,0.0,12.585,229.0,229.0,,,,198.0,676.0,676.0
2023-04-01,-6.0,0.0,0.0,13.081,240.0,240.0,,,,219.0,747.0,747.0
2023-05-01,-5.0,0.0,0.0,8.028,147.0,147.0,,,,254.0,867.0,867.0
2023-06-01,-3.0,0.0,0.0,9.823,181.0,181.0,,,,221.0,754.0,754.0
2023-07-01,-4.0,0.0,0.0,13.007,239.0,239.0,,,,254.0,867.0,867.0
2023-08-01,-4.0,0.0,0.0,12.657,233.0,233.0,,,,246.0,839.0,839.0
2023-09-01,-4.0,0.0,0.0,8.821,162.0,162.0,,,,181.0,618.0,618.0
2023-10-01,-3.0,0.0,0.0,11.539,212.0,212.0,,,,164.0,560.0,560.0
2023-11-01,-4.0,0.0,0.0,10.445,192.0,192.0,,,,111.0,379.0,379.0
2023-12-01,-3.0,0.0,0.0,9.014,165.0,165.0,,,,79.0,270.0,270.0
2024-01-01,-3.0,0.0,0.0,2.291,147.0,147.0,,,,58.0,198.0,198.0
2024-02-01,-3.0,0.0,0.0,1.755,112.0,112.0,,,,147.0,502.0,502.0
2024-03-01,-6.0,0.0,0.0,1.716,110.0,110.0,,,,199.0,679.0,679.0
2024-04-01,-2.0,0.0,0.0,3.322,213.0,213.0,,,,200.0,682.0,682.0
2024-05-01,-8.0,0.0,0.0,2.253,144.0,144.0,,,,210.0,717.0,717.0
2024-06-01,-7.0,0.0,0.0,2.731,174.0,174.0,,,,274.0,935.0,935.0
2024-07-01,-8.0,0.0,0.0,4.156,266.0,266.0,,,,267.0,911.0,911.0
2024-08-01,-4.0,0.0,0.0,3.273,210.0,210.0,,,,252.0,860.0,860.0
2024-09-01,-1.0,0.0,0.0,2.358,151.0,151.0,,,,171.0,583.0,583.0
2024-10-01,-3.0,0.0,0.0,3.38,216.0,216.0,,,,178.0,607.0,607.0
2024-11-01,-1.0,0.0,0.0,1.726,110.0,110.0,,,,104.0,355.0,355.0
2024-12-01,-3.0,0.0,0.0,2.039,131.0,131.0,,,,78.0,266.0,266.0
