measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2022-11-01,3059.98,37304.0,46146.0
2022-12-01,4007.02,48849.0,60427.0
2023-01-01,2275.223,27238.0,31985.0
2023-02-01,2431.433,29108.0,34178.0
2023-03-01,1979.672,23700.0,27829.0
2023-04-01,2087.482,24991.0,29344.0
2023-05-01,2134.405,25552.0,30004.0
2023-06-01,2175.47,26044.0,30581.0
2023-07-01,3741.792,44796.0,52599.0
2023-08-01,2647.171,31691.0,37212.0
2023-09-01,2442.263,29238.0,34331.0
2023-10-01,2215.189,26520.0,31139.0
2023-11-01,2146.878,25702.0,30179.0
2023-12-01,2671.022,31977.0,37547.0
2024-01-01,2665.586,28034.0,28034.0
2024-02-01,1774.49,18663.0,18663.0
2024-03-01,1531.518,16108.0,16108.0
2024-04-01,1693.252,17808.0,17808.0
2024-05-01,1501.349,15791.0,15791.0
2024-06-01,2214.421,23290.0,23290.0
2024-07-01,4196.475,44135.0,44135.0
2024-08-01,3005.009,31605.0,31605.0
2024-09-01,1780.146,18722.0,18722.0
2024-10-01,2570.49,27035.0,27035.0
2024-11-01,3122.68,32842.0,32842.0
2024-12-01,2545.584,26773.0,26773.0
