measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,-2.0,0.0,0.0,69.0,235.0,235.0
2024-02-01,-2.0,0.0,0.0,257.0,877.0,877.0
2024-03-01,-2.0,0.0,0.0,272.0,928.0,928.0
2024-04-01,-2.0,0.0,0.0,306.0,1044.0,1044.0
2024-05-01,-2.0,0.0,0.0,345.0,1177.0,1177.0
2024-06-01,-2.0,0.0,0.0,392.0,1338.0,1338.0
2024-07-01,-2.0,0.0,0.0,411.0,1402.0,1402.0
2024-08-01,-2.0,0.0,0.0,333.0,1136.0,1136.0
2024-09-01,-2.0,0.0,0.0,326.0,1112.0,1112.0
2024-10-01,-2.0,0.0,0.0,239.0,815.0,815.0
2024-11-01,-2.0,0.0,0.0,134.0,457.0,457.0
2024-12-01,-2.0,0.0,0.0,89.0,304.0,304.0
