measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2024-01-01,104.572,1214.0,1289.0,38.697,454.0,932.0,-50.0,0.0,0.0,7693.132,89282.0,94647.0,1913.979,22442.0,45688.0
2024-02-01,53.517,621.0,656.0,19.803,232.0,472.0,-55.0,0.0,0.0,5121.343,59435.0,63006.0,1274.142,14939.0,30414.0
2024-03-01,33.872,393.0,414.0,12.534,147.0,299.0,-62.0,0.0,0.0,4420.104,51297.0,54379.0,1099.68,12894.0,26250.0
2024-04-01,36.193,420.0,443.0,13.393,157.0,322.0,-38.0,0.0,0.0,4886.885,56714.0,60121.0,1215.811,14255.0,29022.0
2024-05-01,40.694,472.0,501.0,15.059,177.0,357.0,-45.0,0.0,0.0,4333.035,50287.0,53308.0,1078.018,12640.0,25733.0
2024-06-01,104.073,1208.0,1283.0,38.511,452.0,921.0,-50.0,0.0,0.0,6391.025,74171.0,78627.0,1590.027,18643.0,37955.0
2024-07-01,123.006,1428.0,1513.0,45.517,534.0,1088.0,-60.0,0.0,0.0,12111.421,140558.0,149003.0,3013.208,35330.0,71928.0
2024-08-01,81.696,948.0,1007.0,30.231,354.0,719.0,-81.0,0.0,0.0,8672.737,100651.0,106698.0,2157.696,25299.0,51506.0
2024-09-01,28.211,327.0,345.0,10.439,122.0,247.0,-25.0,0.0,0.0,5137.669,59625.0,63207.0,1278.204,14987.0,30512.0
2024-10-01,33.539,389.0,414.0,12.411,146.0,293.0,-55.0,0.0,0.0,7418.675,86097.0,91270.0,1845.697,21641.0,44058.0
2024-11-01,59.296,688.0,731.0,21.942,257.0,524.0,-36.0,0.0,0.0,9012.348,104592.0,110876.0,2242.187,26290.0,53523.0
2024-12-01,437.383,5076.0,5380.0,161.851,1898.0,3861.0,-42.0,0.0,0.0,7346.794,85263.0,90385.0,1827.813,21431.0,43631.0
