measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,434290.0,4353168.0,4353168.0,1379.0,13613.0,13613.0
2003-02-01,379588.0,3876686.0,3876686.0,1369.0,13932.0,13932.0
2003-03-01,289442.0,2846272.0,2846272.0,1346.0,13187.0,13187.0
2003-04-01,292331.0,3142040.0,3142040.0,1369.0,14502.0,14502.0
2003-05-01,304654.0,3245032.0,3245032.0,1320.0,14176.0,14176.0
2003-06-01,365234.0,3821142.0,3821142.0,760.0,7742.0,7742.0
2003-07-01,242358.0,4207402.0,4207402.0,782.0,13181.0,13181.0
2003-08-01,437604.0,4513477.0,4513477.0,1039.0,10331.0,10331.0
2003-09-01,398004.0,4196476.0,4196476.0,1264.0,13094.0,13094.0
2003-10-01,393675.0,4019542.0,4019542.0,1145.0,11454.0,11454.0
2003-11-01,363330.0,3762055.0,3762055.0,658.0,6719.0,6719.0
2003-12-01,462872.0,4746627.0,4746627.0,1044.0,10703.0,10703.0
2004-01-01,400885.0,4099579.0,4099579.0,955.0,9586.0,9586.0
2004-02-01,427066.0,4407112.0,4407112.0,1027.0,10523.0,10523.0
2004-03-01,170106.0,1687606.0,1687606.0,1253.0,12140.0,12140.0
2004-04-01,175525.0,1972835.0,1972835.0,2068.0,22779.0,22779.0
2004-05-01,369825.0,3835157.0,3835157.0,1619.0,16561.0,16561.0
2004-06-01,387552.0,3964070.0,3964070.0,927.0,9464.0,9464.0
2004-07-01,412218.0,4212427.0,4212427.0,1369.0,13943.0,13943.0
2004-08-01,345744.0,3639452.0,3639452.0,705.0,7521.0,7521.0
2004-09-01,275130.0,2907950.0,2907950.0,771.0,8237.0,8237.0
2004-10-01,308802.0,3229700.0,3229700.0,928.0,9621.0,9621.0
2004-11-01,301187.0,3105358.0,3105358.0,522.0,5387.0,5387.0
2004-12-01,266962.0,2836950.0,2836950.0,1258.0,13674.0,13674.0
2005-01-01,337079.0,3445906.98,3445906.98,665.0,6672.1,6672.1
2005-02-01,324570.0,3318072.64,3318072.64,713.0,7172.36,7172.36
2005-03-01,444191.0,4475499.77,4475499.77,722.0,7090.92,7090.92
2005-04-01,344807.0,3527193.03,3527193.03,1007.0,10069.23,10069.23
2005-05-01,356177.0,3679330.24,3679330.24,1258.0,12762.5,12762.5
2005-06-01,418682.0,4291945.58,4291945.58,978.0,9900.53,9900.53
2005-07-01,444933.0,4572172.51,4572172.51,983.0,10040.14,10040.14
2005-08-01,506845.0,5198884.06,5198884.06,630.0,6410.33,6410.33
2005-09-01,454739.0,4655544.77,4655544.77,557.0,5654.12,5654.12
2005-10-01,214855.0,2127216.09,2127216.09,1004.0,9807.46,9807.46
2005-11-01,151834.0,1626818.93,1626818.93,416.0,4397.65,4397.65
2005-12-01,351461.0,3704719.16,3704719.16,2302.0,24291.79,24291.79
2006-01-01,325877.0,3388794.0,3388794.0,947.0,9848.0,9848.0
2006-02-01,368353.0,3798075.0,3798075.0,794.0,8004.0,8004.0
