measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.083,0.83,0.83
2005-02-01,0.0,0.0,0.0,0.076,0.76,0.76
2005-03-01,0.0,0.0,0.0,0.079,0.79,0.79
2005-04-01,0.0,0.0,0.0,0.079,0.79,0.79
2005-05-01,0.0,0.0,0.0,0.112,1.12,1.12
2005-06-01,0.0,0.0,0.0,0.10400000000000001,1.04,1.04
2005-07-01,0.0,0.0,0.0,0.097,0.97,0.97
2005-08-01,0.0,0.0,0.0,0.08,0.8,0.8
2005-09-01,0.0,0.0,0.0,0.064,0.64,0.64
2005-10-01,0.0,0.0,0.0,0.069,0.69,0.69
2005-11-01,0.0,0.0,0.0,0.07400000000000001,0.74,0.74
2005-12-01,0.0,0.0,0.0,0.083,0.83,0.83
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,303.18100000000004,4112.0,4112.0,369.905,3656.0,3656.0
2007-02-01,234.792,3184.0,3184.0,385.58,3811.0,3811.0
2007-03-01,464.30100000000004,6299.0,6299.0,399.58700000000005,3950.0,3950.0
2007-04-01,282.416,3834.0,3834.0,378.68600000000004,3743.0,3743.0
2007-05-01,260.55600000000004,3538.0,3538.0,357.653,3535.0,3535.0
2007-06-01,254.728,3457.0,3457.0,351.535,3475.0,3475.0
2007-07-01,376.134,5104.0,5104.0,355.178,3511.0,3511.0
2007-08-01,474.788,6444.0,6444.0,312.9,3093.0,3093.0
2007-09-01,394.403,5353.0,5353.0,234.04600000000002,2313.0,2313.0
2007-10-01,476.307,6467.0,6467.0,240.901,2381.0,2381.0
2007-11-01,349.423,4744.0,4744.0,256.636,2537.0,2537.0
2007-12-01,500.97,6798.0,6798.0,285.39300000000003,2821.0,2821.0
2008-01-01,267.993,2755.0,2755.0,217.705,2145.0,2145.0
2008-02-01,245.3,2526.0,2526.0,236.473,2330.0,2330.0
2008-03-01,164.14000000000001,1691.0,1691.0,228.35500000000002,2250.0,2250.0
2008-04-01,165.636,1702.0,1702.0,218.827,2156.0,2156.0
2008-05-01,173.26600000000002,1781.0,1781.0,161.81300000000002,1595.0,1595.0
2008-06-01,116.069,1193.0,1193.0,206.84300000000002,2038.0,2038.0
2008-07-01,120.604,1243.0,1243.0,149.702,1475.0,1475.0
2008-08-01,119.354,1226.0,1226.0,180.779,1781.0,1781.0
2008-09-01,124.534,1282.0,1282.0,196.811,1939.0,1939.0
2008-10-01,141.773,1462.0,1462.0,208.982,2059.0,2059.0
2008-11-01,172.901,1781.0,1781.0,173.741,1712.0,1712.0
2008-12-01,293.43,3018.0,3018.0,268.969,2650.0,2650.0
2009-01-01,616.548,3455.0,3455.0,1469.84,14346.0,14346.0
2009-02-01,452.50300000000004,2537.0,2537.0,1591.2140000000002,15530.0,15530.0
2009-03-01,469.99800000000005,2638.0,2638.0,1681.81,16414.0,16414.0
2009-04-01,482.913,2710.0,2710.0,1722.691,16813.0,16813.0
2009-05-01,289.51800000000003,1624.0,1624.0,1299.6970000000001,12685.0,12685.0
2009-06-01,284.307,1596.0,1596.0,1707.491,16665.0,16665.0
2009-07-01,320.53,1798.0,1798.0,1693.495,16529.0,16529.0
2009-08-01,318.869,1786.0,1786.0,1856.163,18116.0,18116.0
2009-09-01,212.40800000000002,1193.0,1193.0,1392.194,13588.0,13588.0
2009-10-01,210.459,1182.0,1182.0,2220.9230000000002,21676.0,21676.0
2009-11-01,400.05100000000004,2246.0,2246.0,2072.9480000000003,20232.0,20232.0
2009-12-01,405.796,2274.0,2274.0,2412.534,23546.0,23546.0
2010-01-01,588.114,4917.0,4917.0,,,
2010-02-01,467.26800000000003,3904.0,3904.0,,,
2010-03-01,413.586,3459.0,3459.0,,,
2010-04-01,366.165,3062.0,3062.0,,,
2010-05-01,304.48400000000004,2544.0,2544.0,,,
2010-06-01,239.013,2001.0,2001.0,,,
2010-07-01,274.223,2294.0,2294.0,,,
2010-08-01,279.579,2336.0,2336.0,,,
2010-09-01,255.995,2141.0,2141.0,,,
2010-10-01,306.861,2568.0,2568.0,,,
2010-11-01,349.51300000000003,2922.0,2922.0,,,
2010-12-01,635.759,5313.0,5313.0,,,
2012-01-01,296.026,2916.0,2916.0,2516.604,23948.0,23948.0
2012-02-01,174.596,1722.0,1722.0,2192.584,20865.0,20865.0
2012-03-01,264.807,2610.0,2610.0,2078.095,19775.0,19775.0
2012-04-01,167.672,1650.0,1650.0,1661.732,15813.0,15813.0
2012-05-01,209.818,2064.0,2064.0,1660.842,15805.0,15805.0
2012-06-01,171.218,1686.0,1686.0,1717.309,16342.0,16342.0
2012-07-01,267.712,2634.0,2634.0,1142.224,10869.0,10869.0
2012-08-01,249.457,2454.0,2454.0,1846.002,17567.0,17567.0
2012-09-01,232.235,2286.0,2286.0,1939.424,18456.0,18456.0
2012-10-01,172.501,1698.0,1698.0,3032.141,28854.0,28854.0
2012-11-01,185.005,1824.0,1824.0,2410.854,22942.0,22942.0
2012-12-01,284.953,2808.0,2808.0,2312.189,22003.0,22003.0
2013-01-01,243.298,3042.0,3042.0,221.485,2113.0,2113.0
2013-02-01,167.866,2094.0,2094.0,206.722,1972.0,1972.0
2013-03-01,169.797,2118.0,2118.0,190.537,1818.0,1818.0
2013-04-01,195.853,2442.0,2442.0,190.856,1821.0,1821.0
2013-05-01,197.384,2466.0,2466.0,173.627,1657.0,1657.0
2013-06-01,141.75,1770.0,1770.0,154.059,1470.0,1470.0
2013-07-01,134.216,1674.0,1674.0,160.126,1528.0,1528.0
2013-08-01,132.424,1650.0,1650.0,182.795,1744.0,1744.0
2013-09-01,155.414,1938.0,1938.0,153.475,1464.0,1464.0
2013-10-01,149.551,1866.0,1866.0,336.774,3213.0,3213.0
2013-11-01,194.928,2436.0,2436.0,220.624,2105.0,2105.0
2013-12-01,220.599,2754.0,2754.0,241.35,2303.0,2303.0
2014-01-01,7.618,88.0,90.0,344.361,3275.0,3275.0
2014-02-01,7.229,84.0,84.0,310.793,2956.0,2956.0
2014-03-01,7.057,82.0,84.0,281.135,2674.0,2674.0
2014-04-01,6.631,77.0,78.0,301.344,2866.0,2866.0
2014-05-01,5.599,65.0,67.0,263.484,2506.0,2506.0
2014-06-01,3.337,39.0,39.0,244.679,2327.0,2327.0
2014-07-01,5.9,67.0,67.0,231.385,2200.0,2200.0
2014-08-01,4.747,55.0,56.0,287.696,2736.0,2736.0
2014-09-01,5.585,65.0,67.0,444.895,4231.0,4231.0
2014-10-01,7.382,84.0,84.0,323.962,3081.0,3081.0
2014-11-01,5.396,62.0,62.0,333.583,3172.0,3172.0
2014-12-01,7.019,81.0,84.0,380.683,3620.0,3620.0
2015-01-01,147.776,1669.0,1669.0,236.212,2201.0,2201.0
2015-02-01,130.328,1473.0,1473.0,198.598,1851.0,1851.0
2015-03-01,131.106,1478.0,1478.0,164.168,1530.0,1530.0
2015-04-01,135.778,1534.0,1534.0,198.811,1853.0,1853.0
2015-05-01,109.12,1232.0,1232.0,193.002,1799.0,1799.0
2015-06-01,108.714,1226.0,1226.0,167.157,1558.0,1558.0
2015-07-01,112.974,1277.0,1277.0,147.236,1372.0,1372.0
2015-08-01,128.261,1450.0,1450.0,172.12,1604.0,1604.0
2015-09-01,115.515,1305.0,1305.0,210.112,1958.0,1958.0
2015-10-01,132.156,1490.0,1490.0,211.909,1975.0,1975.0
2015-11-01,92.406,1042.0,1042.0,264.682,2467.0,2467.0
2015-12-01,88.866,1002.0,1002.0,274.993,2563.0,2563.0
2016-01-01,147.895,1647.0,1647.0,198.243,1830.0,1830.0
2016-02-01,164.124,1827.0,1827.0,163.525,1510.0,1510.0
2016-03-01,155.319,1728.0,1728.0,208.864,1928.0,1928.0
2016-04-01,127.197,1415.0,1415.0,131.183,1211.0,1211.0
2016-05-01,116.027,1293.0,1293.0,86.981,803.0,803.0
2016-06-01,116.71,1299.0,1299.0,100.741,930.0,930.0
2016-07-01,97.633,1085.0,1085.0,130.608,1206.0,1206.0
2016-08-01,127.956,1427.0,1427.0,189.399,1749.0,1749.0
2016-09-01,130.379,1450.0,1450.0,247.912,2289.0,2289.0
