measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,7078.0,73136.97,73136.97,592991.0,6192012.0,6192012.0
2001-02-01,6494.0,67102.5,67102.5,512071.0,5347045.0,5347045.0
2001-03-01,7032.0,72661.66,72661.66,571285.0,5965358.0,5965358.0
2001-04-01,17060.0,176280.98,176280.98,2663.0,27807.0,27807.0
2001-05-01,93154.0,962560.28,962560.28,298038.0,3112113.0,3112113.0
2001-06-01,88229.0,911670.26,911670.26,371256.0,3876655.0,3876655.0
2001-07-01,71246.0,736184.92,736184.92,-3857.0,0.0,0.0
2001-08-01,51002.0,527003.67,527003.67,-2260.0,0.0,0.0
2001-09-01,41260.0,426339.58,426339.58,-2114.0,0.0,0.0
2001-10-01,15159.0,156637.95,156637.95,-2025.0,0.0,0.0
2001-11-01,15159.0,156637.95,156637.95,-1979.0,0.0,0.0
2001-12-01,5076.0,52450.31,52450.31,-5023.0,0.0,0.0
2002-01-01,6002.0,61058.35,61058.35,168721.0,1761785.0,1761785.0
2002-02-01,5633.0,57304.51,57304.51,535946.0,5596348.0,5596348.0
2002-03-01,6433.0,65442.91,65442.91,600727.0,6272791.0,6272791.0
2002-04-01,7021.0,71424.63,71424.63,576904.0,6024032.0,6024032.0
2002-05-01,68950.0,701428.35,701428.35,577499.0,6030245.0,6030245.0
2002-06-01,92508.0,941083.88,941083.88,537795.0,5615655.0,5615655.0
2002-07-01,86506.0,880025.54,880025.54,582568.0,6083175.0,6083175.0
2002-08-01,67514.0,686819.92,686819.92,568090.0,5931996.0,5931996.0
2002-09-01,44483.0,452525.56,452525.56,545479.0,5695892.0,5695892.0
2002-10-01,13121.0,133479.93,133479.93,591278.0,6174125.0,6174125.0
2002-11-01,5274.0,53652.4,53652.4,565875.0,5908867.0,5908867.0
2002-12-01,5632.0,57294.34,57294.34,507080.0,5294929.0,5294929.0
2003-01-01,6126.0,62736.37,62736.37,591649.0,6165574.23,6165574.23
2003-02-01,5767.0,59059.85,59059.85,525637.0,5477663.18,5477663.18
2003-03-01,6738.0,69003.86,69003.86,288895.0,3010574.8,3010574.8
2003-04-01,18313.0,187543.43,187543.43,151228.0,1575946.99,1575946.99
2003-05-01,74081.0,758663.52,758663.52,591727.0,6166387.07,6166387.07
2003-06-01,91274.0,934737.03,934737.03,566907.0,5907737.85,5907737.85
2003-07-01,75755.0,775806.96,775806.96,560312.0,5839011.35,5839011.35
2003-08-01,54949.0,562732.71,562732.71,572715.0,5968263.02,5968263.02
2003-09-01,40499.0,414750.26,414750.26,562716.0,5864063.44,5864063.44
2003-10-01,22281.0,228179.72,228179.72,588899.0,6136916.48,6136916.48
2003-11-01,3789.0,38803.15,38803.15,553522.0,5768252.76,5768252.76
2003-12-01,4090.0,41885.69,41885.69,597274.0,6224192.35,6224192.35
2004-01-01,4485.0,44948.67,44948.67,597162.0,6226608.17,6226608.17
2004-02-01,4437.0,44467.61,44467.61,537116.0,5600508.53,5600508.53
2004-03-01,5301.0,53126.62,53126.62,596098.0,6215513.85,6215513.85
2004-04-01,27487.0,275474.71,275474.71,569271.0,5935788.72,5935788.72
2004-05-01,71528.0,716853.62,716853.62,583466.0,6083799.98,6083799.98
2004-06-01,78744.0,789172.37,789172.37,560078.0,5839933.3100000005,5839933.3100000005
2004-07-01,84695.0,848813.29,848813.29,461033.0,4807191.09,4807191.09
2004-08-01,66247.0,663927.43,663927.43,429413.0,4477489.35,4477489.35
2004-09-01,47468.0,475724.3,475724.3,196447.0,2048352.87,2048352.87
2004-10-01,24396.0,244496.71,244496.71,-2294.0,-23919.54,-23919.54
2004-11-01,3835.0,38434.37,38434.37,218324.0,2276464.35,2276464.35
2004-12-01,4162.0,41711.56,41711.56,597732.0,6232551.56,6232551.56
2005-01-01,4356.0,43555.64,43555.64,397709.0,4150093.42,4150093.42
2005-02-01,4379.0,43785.62,43785.62,541624.0,5651846.44,5651846.44
2005-03-01,5077.0,50764.92,50764.92,598387.0,6244168.35,6244168.35
2005-04-01,16834.0,168323.17,168323.17,574581.0,5995752.74,5995752.74
2005-05-01,69658.0,696510.34,696510.34,590400.0,6160824.0,6160824.0
2005-06-01,111579.0,1115678.42,1115678.42,562735.0,5872139.73,5872139.73
2005-07-01,113344.0,1133326.66,1133326.66,581101.0,6063788.94,6063788.94
2005-08-01,95631.0,956214.37,956214.37,576704.0,6017906.24,6017906.24
2005-09-01,64161.0,641545.84,641545.84,497868.0,5195252.58,5195252.58
2005-10-01,26783.0,267803.22,267803.22,583085.0,6084491.98,6084491.98
2005-11-01,4709.0,47085.29,47085.29,559996.0,5843558.26,5843558.26
2005-12-01,4794.0,47935.21,47935.21,579426.0,6046310.31,6046310.31
2006-01-01,9179.0,91047.0,91047.0,483519.0,5045037.0,5045037.0
2006-02-01,21208.0,210362.0,210362.0,547734.0,5715057.0,5715057.0
2006-03-01,25453.0,252468.0,252468.0,602942.0,6291097.0,6291097.0
2006-04-01,72302.0,717164.0,717164.0,-2481.0,0.0,0.0
2006-05-01,92237.0,914899.0,914899.0,219549.0,2290774.0,2290774.0
2006-06-01,115325.0,1143909.0,1143909.0,576782.0,6018143.0,6018143.0
2006-07-01,117702.0,1167486.0,1167486.0,585700.0,6111194.0,6111194.0
2006-08-01,100959.0,1001412.0,1001412.0,590628.0,6162613.0,6162613.0
2006-09-01,56897.0,564361.0,564361.0,574389.0,5993175.0,5993175.0
2006-10-01,26785.0,265680.0,265680.0,602582.0,6287341.0,6287341.0
2006-11-01,16942.0,168048.0,168048.0,518820.0,5413368.0,5413368.0
2006-12-01,18339.0,181905.0,181905.0,603697.0,6298974.0,6298974.0
2007-01-01,14996.0,148220.0,148220.0,603143.0,6323954.0,6323954.0
2007-02-01,7401.0,73151.0,73151.0,497774.0,5219160.0,5219160.0
2007-03-01,8354.0,82571.0,82571.0,485071.0,5085969.0,5085969.0
2007-04-01,20516.0,202780.0,202780.0,583991.0,6123146.0,6123146.0
2007-05-01,111152.0,1098626.0,1098626.0,465196.0,4877580.0,4877580.0
2007-06-01,100528.0,993619.0,993619.0,569217.0,5968240.0,5968240.0
2007-07-01,81751.0,808027.0,808027.0,585433.0,6138265.0,6138265.0
2007-08-01,56963.0,563022.0,563022.0,582322.0,6105646.0,6105646.0
2007-09-01,42519.0,420258.0,420258.0,149115.0,1563471.0,1563471.0
2007-10-01,16635.0,164420.0,164420.0,118585.0,1243364.0,1243364.0
2007-11-01,3236.0,31985.0,31985.0,581425.0,6096241.0,6096241.0
2007-12-01,3073.0,30374.0,30374.0,604743.0,6340730.0,6340730.0
2008-01-01,32320.865,318490.0,318490.0,541751.0,5681884.0,5681884.0
2008-02-01,27120.266,267243.0,267243.0,566389.0,5940288.0,5940288.0
2008-03-01,41328.555,407252.0,407252.0,607111.0,6367380.0,6367380.0
2008-04-01,60153.858,592756.0,592756.0,579786.0,6080796.0,6080796.0
2008-05-01,59083.154,582205.0,582205.0,556350.0,5834999.0,5834999.0
2008-06-01,82155.659,809562.0,809562.0,567071.0,5947441.0,5947441.0
2008-07-01,76567.029,754492.0,754492.0,582065.0,6104698.0,6104698.0
2008-08-01,67496.169,665107.0,665107.0,486670.0,5104195.0,5104195.0
2008-09-01,41426.426,408216.0,408216.0,567326.0,5950115.0,5950115.0
2008-10-01,26527.034,261397.0,261397.0,595073.0,6241126.0,6241126.0
2008-11-01,22954.366,226192.0,226192.0,581797.0,6101887.0,6101887.0
2008-12-01,27346.619,269474.0,269474.0,603347.0,6327903.0,6327903.0
2009-01-01,52986.037,517144.0,517144.0,602883.0,6323037.0,6323037.0
2009-02-01,37015.945999999996,361276.0,361276.0,456765.0,4790551.0,4790551.0
2009-03-01,37056.715,361674.0,361674.0,408921.0,4288763.0,4288763.0
2009-04-01,89045.154,869081.0,869081.0,0.0,0.0,0.0
2009-05-01,79464.939,775578.0,775578.0,556099.0,5832366.0,5832366.0
2009-06-01,89669.454,875174.0,875174.0,572986.0,6009477.0,6009477.0
2009-07-01,89783.075,876283.0,876283.0,586004.0,6146010.0,6146010.0
2009-08-01,68839.945,671878.0,671878.0,584081.0,6125842.0,6125842.0
2009-09-01,45516.705,444243.0,444243.0,569329.0,5971123.0,5971123.0
2009-10-01,32128.092,313570.0,313570.0,596345.0,6254466.0,6254466.0
2009-11-01,25941.431,253188.0,253188.0,580914.0,6092626.0,6092626.0
2009-12-01,31839.507,310754.0,310754.0,604383.0,6338769.0,6338769.0
2010-01-01,39744.051,387743.0,387743.0,605062.0,6328343.0,6328343.0
2010-02-01,34446.441,336059.0,336059.0,546938.0,5720425.0,5720425.0
2010-03-01,33323.018,325099.0,325099.0,593732.0,6209843.0,6209843.0
2010-04-01,37263.199,363540.0,363540.0,562212.0,5880175.0,5880175.0
2010-05-01,61444.197,599450.0,599450.0,594771.0,6220710.0,6220710.0
2010-06-01,95038.166,927192.0,927192.0,445015.0,4654412.0,4654412.0
2010-07-01,86367.595,842602.0,842602.0,523828.0,5478717.0,5478717.0
2010-08-01,71723.896,699738.0,699738.0,579406.0,6060007.0,6060007.0
2010-09-01,48874.13,476816.0,476816.0,556104.0,5816292.0,5816292.0
2010-10-01,31121.786,303624.0,303624.0,52104.0,544956.0,544956.0
2010-11-01,27346.57,266793.0,266793.0,581983.0,6086960.0,6086960.0
2010-12-01,39525.951,385615.0,385615.0,599506.0,6270233.0,6270233.0
2011-01-01,62331.653,605614.0,605614.0,470918.0,4927686.0,4927686.0
2011-02-01,67882.336,659545.0,659545.0,549704.0,5752103.0,5752103.0
2011-03-01,75372.053,732315.0,732315.0,599520.0,6273377.0,6273377.0
2011-04-01,70978.461,689627.0,689627.0,586084.0,6132783.0,6132783.0
2011-05-01,68296.478,663569.0,663569.0,601466.0,6293740.0,6293740.0
2011-06-01,84982.51,825690.0,825690.0,575531.0,6022356.0,6022356.0
2011-07-01,99059.283,962460.0,962460.0,587675.0,6149431.0,6149431.0
2011-08-01,74963.258,728343.0,728343.0,587482.0,6147412.0,6147412.0
2011-09-01,58438.822,567792.0,567792.0,382827.0,4005902.0,4005902.0
2011-10-01,34782.109,337943.0,337943.0,558063.0,5839571.0,5839571.0
2011-11-01,29886.276,290375.0,290375.0,579535.0,6064254.0,6064254.0
2011-12-01,33898.761,329360.0,329360.0,562215.0,5883018.0,5883018.0
2012-01-01,,,,520384.0,5452892.0,5452892.0
2012-02-01,,,,560994.0,5878428.0,5878428.0
2012-03-01,,,,559117.0,5858760.0,5858760.0
2012-04-01,,,,70773.0,741601.0,741601.0
2012-05-01,,,,337644.0,3538034.0,3538034.0
2012-06-01,,,,223603.0,2343045.0,2343045.0
2012-07-01,,,,379584.0,3977506.0,3977506.0
2012-08-01,,,,232642.0,2437761.0,2437761.0
2012-09-01,,,,572715.0,6001247.0,6001247.0
2012-10-01,,,,598924.0,6275881.0,6275881.0
2012-11-01,,,,516978.0,5417202.0,5417202.0
2012-12-01,,,,604855.0,6338029.0,6338029.0
2013-01-01,,,,601801.0,6288062.0,6288062.0
2013-02-01,,,,406300.0,4245323.0,4245323.0
2013-03-01,,,,601233.0,6282127.0,6282127.0
2013-04-01,,,,582500.0,6086390.0,6086390.0
2013-05-01,,,,78941.0,824834.0,824834.0
2013-06-01,,,,240832.0,2516391.0,2516391.0
2013-07-01,,,,586088.0,6123880.0,6123880.0
2013-08-01,,,,586335.0,6126461.0,6126461.0
2013-09-01,,,,570971.0,5965927.0,5965927.0
2013-10-01,,,,594112.0,6207721.0,6207721.0
2013-11-01,,,,584273.0,6104916.0,6104916.0
2013-12-01,,,,608310.0,6356072.0,6356072.0
2014-01-01,,,,352746.0,3689410.0,3689410.0
2014-02-01,,,,0.0,0.0,0.0
2014-03-01,,,,279059.0,2918709.0,2918709.0
2014-04-01,,,,590296.0,6173971.0,6173971.0
2014-05-01,,,,603606.0,6313182.0,6313182.0
2014-06-01,,,,447510.0,4680557.0,4680557.0
2014-07-01,,,,591671.0,6188353.0,6188353.0
2014-08-01,,,,587580.0,6145564.0,6145564.0
2014-09-01,,,,575159.0,6015652.0,6015652.0
2014-10-01,,,,601553.0,6291710.0,6291710.0
2014-11-01,,,,586902.0,6138473.0,6138473.0
2014-12-01,,,,606844.0,6347049.0,6347049.0
2015-01-01,,,,608486.0,6363849.0,6363849.0
2015-02-01,,,,548730.0,5738891.0,5738891.0
2015-03-01,,,,608445.0,6363421.0,6363421.0
2015-04-01,,,,585160.0,6119895.0,6119895.0
2015-05-01,,,,592832.0,6200132.0,6200132.0
2015-06-01,,,,570012.0,5961469.0,5961469.0
2015-07-01,,,,585747.0,6126034.0,6126034.0
2015-08-01,,,,578292.0,6048066.0,6048066.0
2015-09-01,,,,245693.0,2569580.0,2569580.0
2015-10-01,,,,207366.0,2168737.0,2168737.0
2015-11-01,,,,583569.0,6103255.0,6103255.0
2015-12-01,,,,604188.0,6318899.0,6318899.0
2016-01-01,,,,604084.0,6317816.0,6317816.0
2016-02-01,,,,567887.0,5939250.0,5939250.0
2016-03-01,,,,606693.0,6345103.0,6345103.0
2016-04-01,,,,585596.0,6124459.0,6124459.0
2016-05-01,,,,594084.0,6213231.0,6213231.0
2016-06-01,,,,570444.0,5965992.0,5965992.0
2016-07-01,,,,583080.0,6098146.0,6098146.0
2016-08-01,,,,583768.0,6105341.0,6105341.0
2016-09-01,,,,568757.0,5948349.0,5948349.0
2016-10-01,,,,595017.0,6222989.0,6222989.0
2016-11-01,,,,580097.0,6066948.0,6066948.0
2016-12-01,,,,605674.0,6334445.0,6334445.0
2017-01-01,,,,606167.0,6339978.0,6339978.0
2017-02-01,,,,546327.0,5714104.0,5714104.0
2017-03-01,,,,410108.0,4289372.0,4289372.0
2017-04-01,,,,246708.0,2580350.0,2580350.0
2017-05-01,,,,153022.0,1600477.0,1600477.0
2017-06-01,,,,573633.0,5999701.0,5999701.0
2017-07-01,,,,592094.0,6192787.0,6192787.0
2017-08-01,,,,591359.0,6185099.0,6185099.0
2017-09-01,,,,576289.0,6027480.0,6027480.0
2017-10-01,,,,601210.0,6288132.0,6288132.0
2017-11-01,,,,589536.0,6166032.0,6166032.0
2017-12-01,,,,611043.0,6390977.0,6390977.0
2018-01-01,,,,611065.0,6388470.0,6388470.0
2018-02-01,,,,552287.0,5773966.0,5773966.0
2018-03-01,,,,507808.0,5308954.0,5308954.0
2018-04-01,,,,589980.0,6168034.0,6168034.0
2018-05-01,,,,602254.0,6296354.0,6296354.0
2018-06-01,,,,573853.0,5999431.0,5999431.0
2018-07-01,,,,591112.0,6179868.0,6179868.0
2018-08-01,,,,585875.0,6125117.0,6125117.0
2018-09-01,,,,576132.0,6023258.0,6023258.0
2018-10-01,,,,239649.0,2505446.0,2505446.0
2018-11-01,,,,0.0,0.0,0.0
2018-12-01,,,,25925.0,271037.0,271037.0
2019-01-01,,,,490769.0,5124434.0,5124434.0
2019-02-01,,,,549023.0,5732702.0,5732702.0
2019-03-01,,,,608203.0,6350638.0,6350638.0
2019-04-01,,,,587459.0,6134037.0,6134037.0
2019-05-01,,,,603692.0,6303536.0,6303536.0
2019-06-01,,,,577448.0,6029505.0,6029505.0
2019-07-01,,,,506100.0,5284515.0,5284515.0
2019-08-01,,,,575922.0,6013572.0,6013572.0
2019-09-01,,,,572336.0,5976128.0,5976128.0
2019-10-01,,,,600323.0,6268358.0,6268358.0
2019-11-01,,,,587265.0,6132011.0,6132011.0
2019-12-01,,,,606627.0,6334182.0,6334182.0
2020-01-01,,,,607199.0,6342788.0,6342788.0
2020-02-01,,,,567646.0,5929618.0,5929618.0
2020-03-01,,,,606475.0,6335225.0,6335225.0
2020-04-01,,,,585434.0,6115431.0,6115431.0
2020-05-01,,,,600016.0,6267754.0,6267754.0
2020-06-01,,,,570882.0,5963421.0,5963421.0
2020-07-01,,,,583761.0,6097955.0,6097955.0
2020-08-01,,,,512269.0,5351151.0,5351151.0
2020-09-01,,,,0.0,0.0,0.0
2020-10-01,,,,170462.0,1780642.0,1780642.0
2020-11-01,,,,584075.0,6101235.0,6101235.0
2020-12-01,,,,606904.0,6339706.0,6339706.0
2021-01-01,,,,607642.0,6337167.0,6337167.0
2021-02-01,,,,548387.0,5719190.0,5719190.0
2021-03-01,,,,607009.0,6330565.0,6330565.0
2021-04-01,,,,585761.0,6108968.0,6108968.0
2021-05-01,,,,600744.0,6265227.0,6265227.0
2021-06-01,,,,572711.0,5972868.0,5972868.0
2021-07-01,,,,553246.0,5769865.0,5769865.0
2021-08-01,,,,577453.0,6022323.0,6022323.0
2021-09-01,,,,571543.0,5960687.0,5960687.0
2021-10-01,,,,596151.0,6217326.0,6217326.0
2021-11-01,,,,586434.0,6115986.0,6115986.0
2021-12-01,,,,607718.0,6337960.0,6337960.0
2022-01-01,,,,608772.0,6360218.0,6360218.0
2022-02-01,,,,549352.0,5739420.0,5739420.0
2022-03-01,,,,607781.0,6349864.0,6349864.0
2022-04-01,,,,586628.0,6128866.0,6128866.0
2022-05-01,,,,377697.0,3946034.0,3946034.0
2022-06-01,,,,0.0,0.0,0.0
2022-07-01,,,,0.0,0.0,0.0
