measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,47599.0,521433.0,521433.0,157377.0,1724006.0,1724006.0
2003-03-01,,,,0.0,0.0,0.0,68762.0,745694.0,745694.0,172154.0,1866954.0,1866954.0
2003-04-01,,,,0.0,0.0,0.0,64902.0,733370.0,733370.0,135279.0,1528614.0,1528614.0
2003-05-01,,,,0.0,0.0,0.0,76835.0,851776.0,851776.0,104607.0,1159662.0,1159662.0
2003-06-01,,,,0.0,0.0,0.0,119371.0,1254805.0,1254805.0,174499.0,1834296.0,1834296.0
2003-07-01,,,,0.0,0.0,0.0,219608.0,2407283.0,2407283.0,213446.56,2339733.0,2339733.0
2003-08-01,,,,0.0,0.0,0.0,323792.0,3484781.0,3484781.0,162154.0,1745167.0,1745167.0
2003-09-01,,,,0.0,0.0,0.0,148385.0,2111912.0,2111912.0,92312.0,1313854.0,1313854.0
2003-10-01,,,,0.0,0.0,0.0,148403.0,1609160.0,1609160.0,116404.0,1262191.0,1262191.0
2003-11-01,,,,0.0,0.0,0.0,81307.0,900050.0,900050.0,111641.0,1235833.0,1235833.0
2003-12-01,,,,0.0,0.0,0.0,84010.0,956775.0,956775.0,141694.0,1613714.0,1613714.0
2004-01-01,,,,0.0,0.0,0.0,61070.0,651402.0,651402.0,252404.0,2692273.0,2692273.0
2004-02-01,,,,0.0,0.0,0.0,50265.0,547721.0,547721.0,169006.0,1841626.0,1841626.0
2004-03-01,,,,0.0,0.0,0.0,70095.0,749991.0,749991.0,173858.0,1860215.0,1860215.0
2004-04-01,,,,0.0,0.0,0.0,104428.0,1136788.0,1136788.0,136507.0,1486006.0,1486006.0
2004-05-01,,,,0.0,0.0,0.0,157223.0,1614930.0,1614930.0,125746.0,1291618.0,1291618.0
2004-06-01,,,,0.0,0.0,0.0,188954.0,2008800.0,2008800.0,145134.0,1542952.0,1542952.0
2004-07-01,,,,0.0,0.0,0.0,246901.0,2653644.0,2653644.0,156653.0,1683673.0,1683673.0
2004-08-01,,,,0.0,0.0,0.0,309743.0,3273133.0,3273133.0,134304.0,1419231.0,1419231.0
2004-09-01,,,,0.0,0.0,0.0,234007.0,2570416.0,2570416.0,74991.0,823734.0,823734.0
2004-10-01,,,,0.0,0.0,0.0,217682.0,2405159.0,2405159.0,115083.0,1271555.0,1271555.0
2004-11-01,,,,0.0,0.0,0.0,132827.0,1472423.0,1472423.0,98905.0,1096381.0,1096381.0
2004-12-01,,,,0.0,0.0,0.0,94337.0,974506.0,974506.0,183561.0,1896210.0,1896210.0
2005-01-01,,,,,,,63734.0,672335.75,672335.75,215186.0,2269998.1,2269998.1
2005-02-01,,,,,,,73796.0,753363.8,753363.8,247703.0,2528724.67,2528724.67
2005-03-01,,,,,,,98653.0,1007868.74,1007868.74,289049.0,2953005.3,2953005.3
2005-04-01,,,,,,,105126.0,1062726.77,1062726.77,214975.0,2173205.97,2173205.97
2005-05-01,,,,,,,216757.0,2239889.06,2239889.06,144191.0,1490013.0,1490013.0
2005-06-01,,,,,,,254234.0,2594964.03,2594964.03,271011.0,2750340.6,2750340.6
2005-07-01,,,,,,,354144.0,3638649.07,3638649.07,292103.0,3001200.3,3001200.3
2005-08-01,,,,,,,300868.0,3097280.43,3097280.43,291958.0,3005553.6,3005553.6
2005-09-01,,,,,,,221518.0,2319431.23,2319431.23,207981.0,2177683.2,2177683.2
2005-10-01,,,,,,,75683.0,772399.78,772399.78,299044.0,3051965.7,3051965.7
2005-11-01,,,,,,,55711.0,579407.53,579407.53,205070.0,2132763.82,2132763.82
2005-12-01,,,,,,,16456.0,171979.7,171979.7,225537.0,2357060.2,2357060.2
2006-01-01,,,,,,,26763.0,286448.0,286448.0,193408.0,2070054.0,2070054.0
2006-02-01,,,,,,,47269.0,505148.0,505148.0,204944.0,2190175.0,2190175.0
2006-03-01,,,,,,,197490.0,2137466.0,2137466.0,78097.0,845258.0,845258.0
2006-04-01,,,,,,,153112.0,1630277.0,1630277.0,40011.0,426019.0,426019.0
2006-05-01,,,,,,,150240.0,1712315.0,1712315.0,23256.0,265047.0,265047.0
2006-06-01,,,,,,,158804.0,1788996.0,1788996.0,44653.0,503036.0,503036.0
