measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1097.0,11726.0,11726.0,,,,231381.0,2472978.0,2472978.0
2003-02-01,144.0,1587.0,1587.0,,,,231808.0,2546934.0,2546934.0
2003-03-01,460.0,5175.0,5175.0,,,,222425.0,2499875.0,2499875.0
2003-04-01,300.0,3315.0,3315.0,,,,230697.0,2548595.0,2548595.0
2003-05-01,179.0,1950.0,1950.0,,,,251085.0,2741231.0,2741231.0
2003-06-01,238.0,2640.0,2640.0,,,,229191.0,2546008.0,2546008.0
2003-07-01,240.0,2585.0,2585.0,,,,247201.0,2668309.0,2668309.0
2003-08-01,976.0,10443.0,10443.0,,,,254855.0,2725971.0,2725971.0
2003-09-01,290.0,3277.0,3277.0,,,,204249.0,2308701.0,2308701.0
2003-10-01,274.0,2993.0,2993.0,,,,184550.0,2013015.0,2013015.0
2003-11-01,316.0,3285.0,3285.0,,,,215640.0,2240475.0,2240475.0
2003-12-01,304.0,3430.0,3430.0,,,,244368.0,3043326.0,3043326.0
2004-01-01,601.0,6449.0,6449.0,0.0,0.0,0.0,221799.0,2380630.0,2380630.0
2004-02-01,4164.0,46641.0,46641.0,0.0,0.0,0.0,226705.0,2461440.0,2461440.0
2004-03-01,131.0,1518.0,1518.0,0.0,0.0,0.0,144031.0,1628225.0,1628225.0
2004-04-01,40.0,455.0,455.0,0.0,0.0,0.0,54519.0,609313.0,609313.0
2004-05-01,505.0,5907.0,5907.0,0.0,0.0,0.0,53224.0,609880.0,609880.0
2004-06-01,514.0,5589.0,5589.0,0.0,0.0,0.0,224462.0,2439146.0,2439146.0
2004-07-01,188.0,2089.0,2089.0,0.0,0.0,0.0,232729.0,2579601.0,2579601.0
2004-08-01,102.0,1126.0,1126.0,0.0,0.0,0.0,243121.0,2679819.0,2679819.0
