measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed
2001-01-01,23207.0,309027.0,309027.0,82.0,963.0,963.0,,,
2001-02-01,13066.0,179239.0,179239.0,62.0,841.0,841.0,,,
2001-03-01,35946.0,456291.0,456291.0,55.0,683.0,683.0,,,
2001-04-01,36115.0,464629.0,464629.0,49.0,613.0,613.0,,,
2001-05-01,32197.0,416513.0,416513.0,66.0,835.0,835.0,,,
2001-06-01,23772.0,310464.0,310464.0,38.0,490.0,490.0,,,
2001-07-01,37962.0,503463.0,503463.0,30.0,391.0,391.0,,,
2001-08-01,35715.0,472802.0,472802.0,42.0,543.0,543.0,,,
2001-09-01,17696.0,235631.0,235631.0,14.0,187.0,187.0,,,
2001-10-01,-324.0,0.0,0.0,0.0,0.0,0.0,,,
2001-11-01,0.0,0.0,0.0,-351.0,269.0,269.0,,,
2001-12-01,-193.0,4230.0,4230.0,-78.0,1664.0,1664.0,,,
2002-01-01,2536.0,40480.0,40480.0,56.0,887.0,887.0,,,
2002-02-01,14171.0,121002.0,121002.0,31.0,249.0,249.0,,,
2002-03-01,25487.0,333165.0,333165.0,337.0,4205.0,4205.0,,,
2002-04-01,12834.0,164260.0,164260.0,254.0,3254.0,3254.0,,,
2002-05-01,2484.0,37632.0,37632.0,54.0,777.0,777.0,,,
2002-06-01,27988.0,350160.0,350160.0,118.0,1473.0,1473.0,,,
2002-07-01,33991.0,427580.0,427580.0,187.0,2355.0,2355.0,,,
2002-08-01,31148.0,432390.0,432390.0,161.0,2627.0,2627.0,,,
2002-09-01,13143.0,185241.0,185241.0,40.0,655.0,655.0,,,
2002-10-01,11218.0,147720.0,147720.0,87.0,1421.0,1421.0,,,
2002-11-01,14822.0,192740.0,192740.0,7.0,110.0,110.0,,,
2002-12-01,3337.0,47320.0,47320.0,4.0,64.0,64.0,,,
2003-01-01,22191.0,275440.0,275440.0,66.0,1009.0,1009.0,,,
2003-02-01,27990.0,348760.0,348760.0,29.0,441.0,441.0,,,
2003-03-01,24627.0,514862.0,514862.0,15.0,377.0,377.0,,,
2003-04-01,35857.0,447990.0,447990.0,32.0,470.0,470.0,,,
2003-05-01,21737.0,271170.0,271170.0,18.0,267.0,267.0,,,
2003-06-01,3192.0,44928.0,44928.0,52.0,864.0,864.0,,,
2003-07-01,30272.0,384300.0,384300.0,97.0,1444.0,1444.0,,,
2003-08-01,31142.0,390021.0,390021.0,59.0,882.0,882.0,,,
2003-09-01,-411.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,12175.0,154939.0,154939.0,45.0,679.0,679.0,,,
2003-11-01,2375.0,33550.0,33550.0,29.0,493.0,493.0,,,
2003-12-01,1140.0,20634.0,20634.0,20.0,435.0,435.0,,,
2004-01-01,18963.744,247370.0,247370.0,47.479,729.0,729.0,,,
2004-02-01,16341.087,213159.0,213159.0,38.717,594.0,594.0,,,
2004-03-01,11832.892,154352.0,154352.0,40.167,617.0,617.0,,,
2004-04-01,10976.527,143182.0,143182.0,38.277,588.0,588.0,,,
2004-05-01,15166.717,197840.0,197840.0,37.434000000000005,575.0,575.0,,,
2004-06-01,15803.376,206145.0,206145.0,54.981,844.0,844.0,,,
2004-07-01,16637.732,217028.0,217028.0,21.579,331.0,331.0,,,
2004-08-01,15030.681,196066.0,196066.0,53.769000000000005,825.0,825.0,,,
2004-09-01,15050.548,196325.0,196325.0,33.451,514.0,514.0,,,
2004-10-01,9712.729000000001,126696.0,126696.0,43.105,662.0,662.0,,,
2004-11-01,12875.972,167959.0,167959.0,46.297000000000004,711.0,711.0,,,
2004-12-01,14522.996,189443.0,189443.0,51.744,794.0,794.0,,,
2005-01-01,18064.207000000002,241927.08,241927.08,11.2565,743.04,743.04,315.117,5199.73,5199.73
2005-02-01,15727.892,210637.7,210637.7,3.8675,255.285,255.285,319.735,5275.92,5275.92
2005-03-01,16317.645,218536.04,218536.04,4.2865,282.955,282.955,378.618,6247.55,6247.55
2005-04-01,14542.231,194758.58,194758.58,5.192,342.735,342.735,367.654,6066.62,6066.62
2005-05-01,15964.446,213805.78,213805.78,4.822,318.315,318.315,359.399,5930.43,5930.43
2005-06-01,17781.082000000002,238135.29,238135.29,6.259,413.14,413.14,380.873,6284.76,6284.76
2005-07-01,18796.485,251734.21,251734.21,6.370500000000001,420.525,420.525,400.52,6608.96,6608.96
2005-08-01,19005.614,254534.98,254534.98,7.484,494.02,494.02,388.77,6415.07,6415.07
2005-09-01,17417.061,233260.1,233260.1,4.899,323.39,323.39,350.43600000000004,5782.53,5782.53
2005-10-01,16447.152000000002,220270.48,220270.48,5.4405,359.13,359.13,286.337,4724.83,4724.83
2005-11-01,16035.211,214753.5,214753.5,4.3735,288.705,288.705,403.36400000000003,6655.87,6655.87
2005-12-01,17907.972999999998,239834.7,239834.7,9.248000000000001,610.465,610.465,347.17600000000004,5728.73,5728.73
2006-01-01,-432.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,0.0
2006-02-01,9303.0,126751.0,126751.0,30.0,478.5,478.5,124.0,2084.0,2084.0
2006-03-01,22961.0,296125.0,296125.0,33.5,507.5,507.5,388.0,6167.0,6167.0
2006-04-01,26264.0,344816.0,344816.0,30.5,472.5,472.5,186.0,3013.0,3013.0
2006-05-01,33731.0,431929.0,431929.0,22.5,342.0,342.0,960.0,15249.0,15249.0
2006-06-01,3489.0,64733.0,64733.0,7.0,153.5,153.5,157.0,3604.0,3604.0
2006-07-01,24939.0,323741.0,323741.0,29.0,441.0,441.0,778.0,12461.0,12461.0
2006-08-01,30035.0,416652.0,416652.0,14.5,240.5,240.5,1296.0,22260.0,22260.0
2006-09-01,-206.0,3595.0,3595.0,-2.5,52.0,52.0,0.0,0.0,0.0
2006-10-01,23333.0,316363.0,316363.0,35.0,554.0,554.0,615.0,10236.0,10236.0
2006-11-01,18835.0,234737.0,234737.0,11.0,162.5,162.5,553.0,8518.0,8518.0
2006-12-01,21003.0,275470.0,275470.0,23.0,354.0,354.0,587.0,9588.0,9588.0
2007-01-01,16577.091,221358.0,221358.0,50.1675,670.0,670.0,553.5740000000001,7392.0,7392.0
2007-02-01,32031.028,400447.0,400447.0,53.816,673.0,673.0,1109.34,13869.0,13869.0
2007-03-01,31061.749,400119.0,400119.0,44.1255,568.5,568.5,0.0,0.0,0.0
2007-04-01,20729.136,270049.0,270049.0,24.932000000000002,325.0,325.0,0.0,0.0,0.0
2007-05-01,4378.258,65972.0,65972.0,31.371000000000002,472.5,472.5,0.0,0.0,0.0
2007-06-01,22101.449,314384.0,314384.0,15.902000000000001,226.0,226.0,862.7460000000001,12272.0,12272.0
2007-07-01,10241.874,129302.0,129302.0,43.644000000000005,551.0,551.0,284.838,3596.0,3596.0
2007-08-01,30746.454,427773.0,427773.0,20.218500000000002,281.5,281.5,1283.1080000000002,17852.0,17852.0
2007-09-01,-167.667,0.0,0.0,-83.8335,0.0,0.0,-167.667,0.0,0.0
2007-10-01,26593.362,345342.0,345342.0,39.3035,510.5,510.5,945.03,12272.0,12272.0
2007-11-01,31525.764,403602.0,403602.0,40.321000000000005,516.0,516.0,1133.594,14513.0,14513.0
2007-12-01,32786.121,429349.0,429349.0,57.1345,748.0,748.0,1161.61,15212.0,15212.0
2008-01-01,27638.129,356554.0,356554.0,42.935500000000005,554.0,554.0,,,
2008-02-01,29284.795,377203.0,377203.0,42.1025,542.5,542.5,,,
2008-03-01,34796.394,431710.0,431710.0,20.803,258.0,258.0,,,
2008-04-01,28380.904000000002,364245.0,364245.0,23.048000000000002,296.0,296.0,,,
2008-05-01,25373.414,341715.0,341715.0,30.793000000000003,414.5,414.5,,,
2008-06-01,26306.354,318809.0,318809.0,59.823,725.0,725.0,,,
2008-07-01,36204.552,470856.0,470856.0,16.724,217.5,217.5,,,
2008-08-01,35519.854,461660.0,461660.0,18.073,235.0,235.0,,,
2008-09-01,7540.555,112818.0,112818.0,8.7225,130.5,130.5,,,
2008-10-01,27306.658,325685.0,325685.0,11.671000000000001,139.0,139.0,,,
2008-11-01,23777.375,312706.0,312706.0,31.3125,412.0,412.0,,,
2008-12-01,10193.033,123707.0,123707.0,21.9835,267.0,267.0,,,
2009-01-01,2010.1390000000001,30932.0,30932.0,10.9305,168.0,168.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
